participant_number,communication_medium,communicator_candidate,agree_with_communicator,own_political_views,how_strongly,evaluator_candidate,trump,kasich,clinton,sanders,cruz,competent,thoughtful,emotional,likable,experience1_pleasure,experience2_pain,agency1_self_control,agency2_remembering,agency3_planning,agency4_self_aware,humanization1_refined_cultured,humanization2_impulsive,humanization2_reverse_impulsive,humanization3_rational,humanization4_open_minded,humanization5_unsophisticated,humanization5_reverse_unsophisticated,humanization6_emotional_warm,humanization7_superficial,humanization7_reverse_superficial,humanization8_mechanical,humanization8_reverse_mechanical,humanization9_mindless,humanization9_reverse_mindless,humanization10_developed_adult,humanization11_animal_less_than_human,humanization11_reverse_animal_less_than_human,humanization12_warm_friendly,similarity_to_you,positive_impression,negative_impression,reverse_negative_impression,persuasion1_belief_change,persuasion2_how_persuasive,persuasion3_how_hard_think,persuasion4_how_rational,human_uniqueness_scale,human_nature_scale,experience_scale,agency_scale,persuasion_scale,gender,age,easy_to_understand,time_spent_on_stimulus,memory_score
1,1,3,1,2,4,3,3,1,1,5,0,3,4,4,4,1,0,2,1,1,2,1,-1,1,1,1,-1,1,2,0,0,-2,2,-1,1,2,-1,1,1,4,4,2,4,4,3,4,4,1.17,1.17,0.5,1.5,3.75,2,33,4,104.461,1.5
2,1,1,0,3,3,3,0,0,0,6,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,3,3,0,0,0,0,2.25,2,30,6,154.58,1.5
3,3,1,0,0,0,3,0,0,0,6,0,2,0,3,4,1,-2,-2,0,0,0,0,-2,2,0,-3,-3,3,0,0,0,-1,1,1,-1,0,-2,2,0,3,3,1,5,0,0,3,3,1.17,-0.5,-0.5,-0.5,1.5,1,18,4,4.259,1
4,4,1,0,2,4,3,0,0,2,6,0,4,4,4,4,1,0,1,0,0,0,-1,0,0,1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0,2,3,2,4,0,2,2,3,0.33,0.17,0.5,0.25,1.75,1,25,5,66.721,1.5
5,4,3,1,2,3,3,0,1,1,6,0,3,4,5,2,0,-2,1,0,0,0,0,-2,2,0,1,2,-2,-1,-1,1,1,-1,0,0,-1,-2,2,-1,3,2,3,3,3,2,2,2,0.17,-0.17,-1,0.25,2.25,1,26,4,43.976,1.75
6,3,1,0,1,3,3,0,0,2,5,1,4,4,4,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-2,2,0,0,0,0,0,0,2,3,2,4,0,0,4,2,-0.17,0.33,0,0,1.5,2,24,3,52.07,1.5
7,4,4,0,3,2,1,0,4,0,3,0,2,1,4,2,1,0,2,1,0,1,-2,1,-1,-2,-1,2,-2,0,1,-1,-1,1,0,0,0,-2,2,1,2,2,4,2,0,0,0,1,-0.83,0,0.5,1,0.25,1,26,6,10.583,1.5
8,3,3,1,1,4,3,0,1,3,4,0,2,2,4,4,1,1,-1,0,0,0,-1,0,0,-1,0,1,-1,1,0,0,-2,2,-2,2,0,-1,1,1,2,4,1,5,0,1,2,3,-0.33,1,1,-0.25,1.5,1,51,2,79.661,1.75
9,4,3,0,5,2,5,0,1,0,0,4,4,3,1,1,0,0,0,0,0,0,-2,0,0,1,1,0,0,0,1,-1,-2,2,0,0,0,-2,2,-1,2,2,3,3,0,0,4,1,0.17,0.17,0,0,1.25,2,34,4,102.116,1.5
10,4,1,0,1,5,4,0,2,5,5,0,4,5,4,4,3,3,3,3,3,3,0,0,0,0,-1,0,0,0,-1,1,-1,1,-1,1,3,-3,3,0,2,3,3,3,1,2,4,3,1,0.33,3,3,2.5,1,34,5,11.765,1.5
