participant_number,communication_medium,communicator_candidate,agree_with_communicator,own_political_views,human_uniqueness_scale,human_nature_scale,gender,age
1,1,3,1,2,1.17,1.17,2,33
2,1,1,0,3,0,0,2,30
3,3,1,0,0,1.17,-0.5,1,18
4,4,1,0,2,0.33,0.17,1,25
5,4,3,1,2,0.17,-0.17,1,26
6,3,1,0,1,-0.17,0.33,2,24
7,4,4,0,3,-0.83,0,1,26
8,3,3,1,1,-0.33,1,1,51
9,4,3,0,5,0.17,0.17,2,34
10,4,1,0,1,1,0.33,1,34
11,2,4,0,3,0.17,0.17,1,41
12,2,1,0,2,1.67,1.67,1,19
13,2,3,1,0,3,3,2,27
14,3,1,0,3,1.5,1.17,2,21
15,4,2,0,1,-2,-2,2,19
16,3,3,1,3,1.17,0.83,2,47
17,1,4,0,4,-0.17,0.5,2,33
18,1,1,0,3,1,0.5,1,34
19,1,2,0,4,-1,-0.17,2,27
20,3,4,0,2,-0.5,0,1,35
21,1,3,1,2,2.67,1.67,1,30
22,2,3,1,2,0.5,-0.17,2,50
23,2,2,0,6,-0.33,-0.17,2,40
24,3,3,0,3,1,0.83,2,30
25,4,1,1,2,0.33,-1,1,23
26,2,1,0,2,0.5,0.5,1,54
27,2,1,0,1,1,0,1,36
28,3,3,1,1,2.67,2.67,1,28
29,1,1,0,3,1.5,0,1,29
30,4,4,1,1,-0.67,0.33,1,50
31,3,3,1,1,0.5,1.17,2,40
32,1,1,0,1,0.5,0.5,2,27
33,4,3,1,4,1.5,1.5,1,27
34,1,3,0,6,-0.83,0.17,1,19
35,4,1,0,1,0.17,1.5,1,28
36,2,1,0,1,1.67,1.67,2,28
37,1,3,1,1,2.33,2.17,1,33
38,3,1,1,5,1.5,2.17,1,60
39,4,2,0,4,0.5,1.17,2,51
40,3,1,0,1,1.67,1.17,1,35
41,1,1,0,4,1.17,1.17,2,18
42,1,4,1,1,2.17,2.5,2,41
43,1,1,0,2,0.83,0.33,1,28
44,3,3,0,4,-1,0.67,1,48
45,2,1,0,6,0.33,0,1,25
46,2,3,0,6,1.33,2.17,2,25
47,4,3,0,5,-0.83,-0.33,2,22
48,3,1,0,3,0.5,1,1,26
49,2,4,0,2,-0.67,0.17,1,23
50,3,1,0,6,2.67,2.33,2,39
51,1,3,0,5,-0.17,0.17,2,37
52,2,2,0,3,0.67,1,2,38
53,4,1,0,3,1.5,1,1,41
54,4,1,0,3,0.33,0.83,1,42
55,3,1,0,2,-0.33,0,1,32
56,4,2,1,4,-0.17,-0.5,1,57
57,2,1,0,2,2,0.5,2,32
58,4,3,1,0,1.33,2.83,2,22
59,1,3,1,1,3,3,1,25
60,1,3,0,3,-0.17,-0.17,2,21
61,4,3,0,3,0,0,1,26
62,2,3,1,1,0.33,-0.5,1,30
63,3,4,1,3,1.5,-0.83,2,26
64,2,3,0,6,-0.5,-0.83,1,29
65,4,4,1,0,-0.5,0.33,2,22
66,4,1,0,2,0.33,0.5,2,48
67,3,4,1,0,0,0,1,34
68,1,1,0,0,0.5,-0.5,1,28
