"","ResponseID","Mode","Auditory","Gender","Age_1","competence","intelligence","thoughtful","composite_intellect","humanness","novel","unique","composite_novelty","Stimulus","RecommendationFollowed"
"1","R_wWTU4Yo2QIDVE2J","Auditory-Computer",1,2,34,5,5,5,5,5,1,1,1,"CreditCard",0
"2","R_TcmN0mI8xWJbiQp","Visual-Handwritten",0,2,40,1,1,1,1,5,3,1,2,"CreditCard",1
"3","R_2THnzXIZQgwv3XM","Auditory-Human",1,1,64,5,5,5,5,9,2,2,2,"CreditCard",1
"4","R_1o6fZcIfV1Osgj1","Auditory-Computer",1,1,39,2,2,2,2,7,2,2,2,"CreditCard",0
"5","R_3HpGABtIXz1ZtwN","Auditory-Human",1,2,39,5,5,5,5,4,1,5,3,"CreditCard",1
"6","R_1FbMvptM2LF1XUv","Visual-Handwritten",0,1,40,6,6,4,5.33333333333333,4,5,7,6,"CreditCard",0
"7","R_2TzcX3AMKX1nKBW","Auditory-Computer",1,1,65,9,6,9,8,5,8,7,7.5,"CreditCard",0
"8","R_3J9o9oiHFlG2pvl","Visual-Handwritten",0,1,71,5,5,5,5,4,3,3,3,"CreditCard",0
"9","R_1FA3ge7TyJ0yUYI","Auditory-Human",1,2,18,6,5,5,5.33333333333333,3,6,3,4.5,"CreditCard",1
"10","R_zVAwhRM4fNtYwTf","Auditory-Human",1,1,27,5,5,4,4.66666666666667,7,5,6,5.5,"CreditCard",0
"11","R_2QLsnO01rDFfAzo","Visual-Handwritten",0,2,26,5,6,4,5,2,6,5,5.5,"CreditCard",0
"12","R_3sps95xEJupoPNs","Auditory-Computer",1,1,19,4,5,5,4.66666666666667,5,3,2,2.5,"CreditCard",1
"13","R_3CCWsWlgAGxH9TU","Auditory-Computer",1,1,20,3,3,3,3,1,3,3,3,"CreditCard",1
"14","R_OPsasmRa1bwU7df","Auditory-Human",1,1,24,7,7,5,6.33333333333333,2,1,1,1,"CreditCard",1
"15","R_42xToRGpg0Hs4Fz","Visual-Handwritten",0,2,21,7,5,7,6.33333333333333,5,5,3,4,"CreditCard",0
"16","R_9FzBY955vaRTmet","Auditory-Human",1,1,54,6,6,6,6,9,5,6,5.5,"CreditCard",0
"17","R_3gSr88VQW1GZ8lP","Visual-Handwritten",0,1,23,5,6,7,6,5,3,5,4,"CreditCard",0
"18","R_24l2OFOlqiFerOy","Auditory-Computer",1,1,25,5,6,6,5.66666666666667,4,5,5,5,"CreditCard",1
"19","R_3RmF0eAy5LY7aCZ","Visual-Handwritten",0,2,27,5,5,5,5,9,5,5,5,"CreditCard",0
"20","R_tXvgJmpIm59IXXH","Auditory-Computer",1,1,20,7,8,9,8,5,6,7,6.5,"CreditCard",0
"21","R_1DA7Wj6ukFRVcvt","Auditory-Human",1,2,29,7,7,7,7,4,6,6,6,"CreditCard",0
"22","R_1d0lY4GpkKUIdcq","Auditory-Human",1,2,27,6,5,5,5.33333333333333,7,7,8,7.5,"CreditCard",0
"23","R_3MosBXD2sOOIw71","Auditory-Computer",1,2,18,4,4,5,4.33333333333333,3,4,1,2.5,"CreditCard",0
"24","R_AA3rc0MYK2fj9UB","Auditory-Human",1,2,29,6,7,7,6.66666666666667,9,7,7,7,"CreditCard",1
"25","R_3eggso1f4ONSg1O","Visual-Handwritten",0,2,31,7,7,8,7.33333333333333,3,6,6,6,"CreditCard",1
"26","R_UzG7Z6wtWN0QEaB","Visual-Handwritten",0,1,25,8,8,7,7.66666666666667,4,7,7,7,"CreditCard",0
