ID,Mode,Auditory,Gender,Age_1,competence,intelligence,thoughtful,composite_intellect,humanness,novel,unique,composite_novelty,Stimulus,RecommendationFollowed
1,Auditory-Computer,1,2,34,5,5,5,5,5,1,1,1,CreditCard,0
2,Visual-Handwritten,0,2,40,1,1,1,1,5,3,1,2,CreditCard,1
3,Auditory-Human,1,1,64,5,5,5,5,9,2,2,2,CreditCard,1
4,Auditory-Computer,1,1,39,2,2,2,2,7,2,2,2,CreditCard,0
5,Auditory-Human,1,2,39,5,5,5,5,4,1,5,3,CreditCard,1
6,Visual-Handwritten,0,1,40,6,6,4,5.333333333,4,5,7,6,CreditCard,0
7,Auditory-Computer,1,1,65,9,6,9,8,5,8,7,7.5,CreditCard,0
8,Visual-Handwritten,0,1,71,5,5,5,5,4,3,3,3,CreditCard,0
9,Auditory-Human,1,2,18,6,5,5,5.333333333,3,6,3,4.5,CreditCard,1
10,Auditory-Human,1,1,27,5,5,4,4.666666667,7,5,6,5.5,CreditCard,0
11,Visual-Handwritten,0,2,26,5,6,4,5,2,6,5,5.5,CreditCard,0
12,Auditory-Computer,1,1,19,4,5,5,4.666666667,5,3,2,2.5,CreditCard,1
13,Auditory-Computer,1,1,20,3,3,3,3,1,3,3,3,CreditCard,1
14,Auditory-Human,1,1,24,7,7,5,6.333333333,2,1,1,1,CreditCard,1
15,Visual-Handwritten,0,2,21,7,5,7,6.333333333,5,5,3,4,CreditCard,0
16,Auditory-Human,1,1,54,6,6,6,6,9,5,6,5.5,CreditCard,0
17,Visual-Handwritten,0,1,23,5,6,7,6,5,3,5,4,CreditCard,0
18,Auditory-Computer,1,1,25,5,6,6,5.666666667,4,5,5,5,CreditCard,1
19,Visual-Handwritten,0,2,27,5,5,5,5,9,5,5,5,CreditCard,0
20,Auditory-Computer,1,1,20,7,8,9,8,5,6,7,6.5,CreditCard,0
21,Auditory-Human,1,2,29,7,7,7,7,4,6,6,6,CreditCard,0
22,Auditory-Human,1,2,27,6,5,5,5.333333333,7,7,8,7.5,CreditCard,0
23,Auditory-Computer,1,2,18,4,4,5,4.333333333,3,4,1,2.5,CreditCard,0
24,Auditory-Human,1,2,29,6,7,7,6.666666667,9,7,7,7,CreditCard,1
25,Visual-Handwritten,0,2,31,7,7,8,7.333333333,3,6,6,6,CreditCard,1
26,Visual-Handwritten,0,1,25,8,8,7,7.666666667,4,7,7,7,CreditCard,0
27,Auditory-Computer,1,2,23,5,5,5,5,1,8,8,8,CreditCard,1
28,Auditory-Human,1,2,46,5,6,7,6,6,5,6,5.5,CreditCard,1
29,Visual-Handwritten,0,1,22,7,7,8,7.333333333,9,6,6,6,CreditCard,0
30,Auditory-Computer,1,1,32,2,5,2,3,1,1,1,1,CreditCard,0
31,Auditory-Computer,1,2,54,5,6,5,5.333333333,2,5,5,5,CreditCard,1
32,Auditory-Human,1,2,68,7,5,5,5.666666667,8,1,1,1,CreditCard,1
33,Auditory-Computer,1,2,22,5,4,4,4.333333333,3,1,2,1.5,CreditCard,0
34,Auditory-Human,1,2,25,5,5,5,5,9,6,4,5,CreditCard,1
35,Auditory-Computer,1,2,22,3,2,2,2.333333333,4,3,2,2.5,CreditCard,0
36,Auditory-Computer,1,2,49,7,7,6,6.666666667,7,7,5,6,CreditCard,0
37,Auditory-Human,1,2,29,9,9,8,8.666666667,8,6,7,6.5,CreditCard,0
38,Visual-Handwritten,0,2,21,5,5,5,5,5,6,6,6,CreditCard,1
39,Auditory-Computer,1,2,21,6,5,4,5,3,5,4,4.5,CreditCard,0
40,Visual-Handwritten,0,1,19,3,3,7,4.333333333,6,7,7,7,CreditCard,0
41,Auditory-Human,1,1,21,9,9,9,9,7,9,9,9,CreditCard,1
42,Auditory-Human,1,2,23,8,7,7,7.333333333,7,7,2,4.5,CreditCard,1
43,Visual-Handwritten,0,2,21,3,5,3,3.666666667,5,3,3,3,CreditCard,0
44,Visual-Handwritten,0,1,37,6,6,5,5.666666667,5,5,4,4.5,CreditCard,0
45,Visual-Handwritten,0,2,19,4,5,4,4.333333333,1,5,3,4,CreditCard,0
46,Auditory-Human,1,2,19,7,7,7,7,6,5,5,5,CreditCard,1
47,Auditory-Computer,1,2,33,4,5,3,4,1,6,5,5.5,CreditCard,0
48,Visual-Handwritten,0,2,28,6,5,4,5,1,7,7,7,CreditCard,0
49,Visual-Handwritten,0,2,24,7,6,6,6.333333333,5,6,7,6.5,CreditCard,0
50,Auditory-Human,1,2,18,6,6,6,6,5,6,7,6.5,CreditCard,0
51,Visual-Handwritten,0,1,18,5,5,6,5.333333333,6,3,2,2.5,CreditCard,0
52,Auditory-Computer,1,1,24,5,5,4,4.666666667,3,3,3,3,CreditCard,1
53,Auditory-Computer,1,1,30,5,6,6,5.666666667,1,5,7,6,CreditCard,0
54,Visual-Handwritten,0,2,22,7,5,7,6.333333333,5,1,1,1,CreditCard,0
55,Auditory-Human,1,2,44,7,7,7,7,5,5,7,6,CreditCard,1
56,Visual-Handwritten,0,1,31,5,5,5,5,5,7,7,7,CreditCard,0
57,Auditory-Computer,1,1,29,7,7,7,7,9,5,5,5,CreditCard,1
