ID,Mode,Ephemerality,gender,age_1,Stimulus,ClickCount,FirstClick,LastClick,PageSubmit,RecommendationFollowed
1,PermanentVisual,0,1,26,brownies,1,8.921,8.921,9.943,0
2,PermanentVisual,0,1,26,hotel,3,11.505,13.682,15.158,0
3,PermanentVisual,0,1,26,shampoo,1,14.912,14.912,16.563,1
4,PermanentVisual,0,1,26,toaster,1,12.949,12.949,14.504,0
5,DisappearingVisual,1,2,73,brownies,2,16.972,17.593,19.529,0
6,DisappearingVisual,1,2,73,hotel,4,11.49,20.217,21.819,0
7,DisappearingVisual,1,2,73,shampoo,2,9.976,11.474,12.229,1
8,DisappearingVisual,1,2,73,toaster,7,38.123,67.342,68.5,1
9,DisappearingVisual,1,2,41,brownies,1,9.479,9.479,14.799,1
10,DisappearingVisual,1,2,41,hotel,3,16.132,22.187,23.276,0
11,DisappearingVisual,1,2,41,shampoo,2,10.532,12.506,14.355,0
12,DisappearingVisual,1,2,41,toaster,3,28.653,33.778,34.982,0
13,DisappearingVisual,1,1,46,brownies,1,6.121,6.121,7.941,1
14,DisappearingVisual,1,1,46,hotel,2,5.362,8.306,10.463,1
15,DisappearingVisual,1,1,46,shampoo,1,2.711,2.711,4.855,1
16,DisappearingVisual,1,1,46,toaster,3,6.645,12.077,13.512,1
17,PermanentVisual,0,2,21,brownies,1,9.359,9.359,11.426,1
18,PermanentVisual,0,2,21,hotel,1,9.88,9.88,14.121,1
19,PermanentVisual,0,2,21,shampoo,2,9.804,12.1,14.555,0
20,PermanentVisual,0,2,21,toaster,10,7.692,33.824,34.942,0
21,DisappearingVisual,1,1,46,brownies,2,12.194,12.753,13.715,0
22,DisappearingVisual,1,1,46,hotel,2,11.589,13.846,15.52,1
23,DisappearingVisual,1,1,46,shampoo,1,2.99,2.99,10.255,1
24,DisappearingVisual,1,1,46,toaster,1,3.538,3.538,17.901,1
25,DisappearingVisual,1,1,54,brownies,1,89.094,89.094,90.641,0
26,DisappearingVisual,1,1,54,hotel,1,72.433,72.433,73.998,0
27,DisappearingVisual,1,1,54,shampoo,1,83.688,83.688,84.777,0
28,DisappearingVisual,1,1,54,toaster,1,61.279,61.279,63.856,0
29,Auditory,1,2,34,brownies,1,28.793,28.793,31.595,0
30,Auditory,1,2,34,hotel,1,32.386,32.386,35.728,0
