"","ResponseID","Mode","Ephemerality","gender","age_1","Stimulus","ClickCount","FirstClick","LastClick","PageSubmit","RecommendationFollowed"
"1","R_00nEfCz0IZ0B2Kd","PermanentVisual",0,1,26,"brownies",1,8.921,8.921,9.943,0
"2","R_00nEfCz0IZ0B2Kd","PermanentVisual",0,1,26,"hotel",3,11.505,13.682,15.158,0
"3","R_00nEfCz0IZ0B2Kd","PermanentVisual",0,1,26,"shampoo",1,14.912,14.912,16.563,1
"4","R_00nEfCz0IZ0B2Kd","PermanentVisual",0,1,26,"toaster",1,12.949,12.949,14.504,0
"5","R_00SmZO4cuJfHLdn","DisappearingVisual",1,2,73,"brownies",2,16.972,17.593,19.529,0
"6","R_00SmZO4cuJfHLdn","DisappearingVisual",1,2,73,"hotel",4,11.49,20.217,21.819,0
"7","R_00SmZO4cuJfHLdn","DisappearingVisual",1,2,73,"shampoo",2,9.976,11.474,12.229,1
"8","R_00SmZO4cuJfHLdn","DisappearingVisual",1,2,73,"toaster",7,38.123,67.342,68.5,1
"9","R_01hSrx2JUkiXILn","DisappearingVisual",1,2,41,"brownies",1,9.479,9.479,14.799,1
"10","R_01hSrx2JUkiXILn","DisappearingVisual",1,2,41,"hotel",3,16.132,22.187,23.276,0
"11","R_01hSrx2JUkiXILn","DisappearingVisual",1,2,41,"shampoo",2,10.532,12.506,14.355,0
"12","R_01hSrx2JUkiXILn","DisappearingVisual",1,2,41,"toaster",3,28.653,33.778,34.982,0
"13","R_0333d7TMYclS6dj","DisappearingVisual",1,1,46,"brownies",1,6.121,6.121,7.941,1
"14","R_0333d7TMYclS6dj","DisappearingVisual",1,1,46,"hotel",2,5.362,8.306,10.463,1
"15","R_0333d7TMYclS6dj","DisappearingVisual",1,1,46,"shampoo",1,2.711,2.711,4.855,1
"16","R_0333d7TMYclS6dj","DisappearingVisual",1,1,46,"toaster",3,6.645,12.077,13.512,1
"17","R_03wGg7YPGgl2Leh","PermanentVisual",0,2,21,"brownies",1,9.359,9.359,11.426,1
"18","R_03wGg7YPGgl2Leh","PermanentVisual",0,2,21,"hotel",1,9.88,9.88,14.121,1
"19","R_03wGg7YPGgl2Leh","PermanentVisual",0,2,21,"shampoo",2,9.804,12.1,14.555,0
"20","R_03wGg7YPGgl2Leh","PermanentVisual",0,2,21,"toaster",10,7.692,33.824,34.942,0
"21","R_0BXZ6aZLXwFSZqh","DisappearingVisual",1,1,46,"brownies",2,12.194,12.753,13.715,0
"22","R_0BXZ6aZLXwFSZqh","DisappearingVisual",1,1,46,"hotel",2,11.589,13.846,15.52,1
"23","R_0BXZ6aZLXwFSZqh","DisappearingVisual",1,1,46,"shampoo",1,2.99,2.99,10.255,1
"24","R_0BXZ6aZLXwFSZqh","DisappearingVisual",1,1,46,"toaster",1,3.538,3.538,17.901,1
"25","R_0c60hAKL18PI2fT","DisappearingVisual",1,1,54,"brownies",1,89.094,89.094,90.641,0
"26","R_0c60hAKL18PI2fT","DisappearingVisual",1,1,54,"hotel",1,72.433,72.433,73.998,0
"27","R_0c60hAKL18PI2fT","DisappearingVisual",1,1,54,"shampoo",1,83.688,83.688,84.777,0
"28","R_0c60hAKL18PI2fT","DisappearingVisual",1,1,54,"toaster",1,61.279,61.279,63.856,0
"29","R_0CHfWUk102Avdjr","Auditory",1,2,34,"brownies",1,28.793,28.793,31.595,0
"30","R_0CHfWUk102Avdjr","Auditory",1,2,34,"hotel",1,32.386,32.386,35.728,0
"31","R_0CHfWUk102Avdjr","Auditory",1,2,34,"shampoo",2,17.842,17.915,24.327,0
"32","R_0CHfWUk102Avdjr","Auditory",1,2,34,"toaster",1,46.912,46.912,48.762,1
"33","R_0cUKWP0pw6FDdK1","PermanentVisual",0,1,29,"brownies",2,3.022,3.854,4.9,1
"34","R_0cUKWP0pw6FDdK1","PermanentVisual",0,1,29,"hotel",1,1.664,1.664,2.831,1
"35","R_0cUKWP0pw6FDdK1","PermanentVisual",0,1,29,"shampoo",1,0.882,0.882,2.14,1
"36","R_0cUKWP0pw6FDdK1","PermanentVisual",0,1,29,"toaster",1,2.554,2.554,5.475,1
"37","R_0cxCCuF4e9EyVA5","PermanentVisual",0,2,23,"brownies",1,3.674,3.674,4.832,0
"38","R_0cxCCuF4e9EyVA5","PermanentVisual",0,2,23,"hotel",2,3.058,5.41,7.287,1
"39","R_0cxCCuF4e9EyVA5","PermanentVisual",0,2,23,"shampoo",1,2.41,2.41,5.926,0
"40","R_0cxCCuF4e9EyVA5","PermanentVisual",0,2,23,"toaster",2,8.04,9.536,22.189,1
"41","R_0dfCTN3ZscMO8Vj","PermanentVisual",0,1,32,"brownies",1,3.19,3.19,4.489,0
"42","R_0dfCTN3ZscMO8Vj","PermanentVisual",0,1,32,"hotel",1,4.047,4.047,5.221,1
"43","R_0dfCTN3ZscMO8Vj","PermanentVisual",0,1,32,"shampoo",1,2.914,2.914,4.66,0
"44","R_0dfCTN3ZscMO8Vj","PermanentVisual",0,1,32,"toaster",2,8.756,9.658,10.92,0
"45","R_0dHBnIZrP0EkQXT","PermanentVisual",0,2,65,"brownies",1,13.216,13.216,14.638,1
"46","R_0dHBnIZrP0EkQXT","PermanentVisual",0,2,65,"hotel",1,33.378,33.378,35.576,0
"47","R_0dHBnIZrP0EkQXT","PermanentVisual",0,2,65,"shampoo",1,32.4,32.4,34.077,1
"48","R_0dHBnIZrP0EkQXT","PermanentVisual",0,2,65,"toaster",1,94.746,94.746,96.681,0
"49","R_0eVibc16Q5NLp4t","PermanentVisual",0,2,56,"brownies",2,27.31,28.169,29.199,1
"50","R_0eVibc16Q5NLp4t","PermanentVisual",0,2,56,"hotel",3,29.471,32.843,33.901,0
"51","R_0eVibc16Q5NLp4t","PermanentVisual",0,2,56,"shampoo",2,15.316,18.63,19.678,1
"52","R_0eVibc16Q5NLp4t","PermanentVisual",0,2,56,"toaster",7,8.959,37.063,40.509,0
"53","R_0fwfDYuYfC39cul","DisappearingVisual",1,2,52,"brownies",1,1.213,1.213,2.423,1
"54","R_0fwfDYuYfC39cul","DisappearingVisual",1,2,52,"hotel",2,1.926,4.728,6.297,1
"55","R_0fwfDYuYfC39cul","DisappearingVisual",1,2,52,"shampoo",1,1.692,1.692,2.924,1
"56","R_0fwfDYuYfC39cul","DisappearingVisual",1,2,52,"toaster",1,3.121,3.121,6.694,1
"57","R_0Gr4qdwgCBrEBr3","DisappearingVisual",1,2,30,"brownies",1,8.767,8.767,10.699,1
"58","R_0Gr4qdwgCBrEBr3","DisappearingVisual",1,2,30,"hotel",2,12.638,13.838,15.807,0
"59","R_0Gr4qdwgCBrEBr3","DisappearingVisual",1,2,30,"shampoo",1,7.802,7.802,11.771,0
"60","R_0Gr4qdwgCBrEBr3","DisappearingVisual",1,2,30,"toaster",2,35.461,36.977,38.674,0
"61","R_0HRIRUAoAEAXrHP","Auditory",1,1,20,"brownies",1,2.156,2.156,3.824,0
"62","R_0HRIRUAoAEAXrHP","Auditory",1,1,20,"hotel",1,2.607,2.607,3.857,1
"63","R_0HRIRUAoAEAXrHP","Auditory",1,1,20,"shampoo",4,1.235,3.216,5.237,1
"64","R_0HRIRUAoAEAXrHP","Auditory",1,1,20,"toaster",4,0.628,10.868,11.28,0
